t,control/V/mA,V,I,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
1082.0420513942445,1750.0,3.6057315,1748.254051801255,0.0,525.4540720075141,0.0,1750.0,1.0
1112.042052819168,1750.0,3.6102593,1748.254911631944,0.0,540.0228636297608,0.0,1750.0,1.0
1142.0420542440988,1750.0,3.6145117,1748.242204072326,0.0,554.5915493556721,0.0,1750.0,1.0
1172.042055669015,1750.0,3.6186457,1748.231080871357,0.0,569.1601423882379,0.0,1750.0,1.0
1202.0420570939386,1750.0,3.6228192,1748.228876086305,0.0,583.7287170475938,0.0,1750.0,1.0
1232.0420585188697,1750.0,3.6267567,1748.247456423964,0.0,598.2974465431045,0.0,1750.0,1.0
1262.0420599437855,1750.0,3.6306939,1748.2182908247642,0.0,612.8659329919434,0.0,1750.0,1.0
1292.042061368702,1750.0,3.6345918,1748.2249470256188,0.0,627.4344749091255,0.0,1750.0,1.0
1322.0420627936328,1750.0,3.6383321,1748.232262267785,0.0,642.0030777866617,0.0,1750.0,1.0
1352.0420642185563,1750.0,3.641994,1748.23737144723,0.0,656.5717232406956,0.0,1750.0,1.0
1382.0420656434726,1750.0,3.6456163,1748.232433646358,0.0,671.1403275463869,0.0,1750.0,1.0
1412.0420670684034,1750.0,3.649474899999999,1748.226038765477,0.0,685.7088785614015,0.0,1750.0,1.0
1442.042068493327,1750.0,3.6530578,1748.202348206706,0.0,700.2772321550838,0.0,1750.0,1.0
1472.0420699182432,1750.0,3.6566801,1748.201901746766,0.0,714.8455820282663,0.0,1750.0,1.0
1502.042071343174,1750.0,3.6602235,1748.1902672583872,0.0,729.4138349473743,0.0,1750.0,1.0
1532.0420727680976,1750.0,3.663964,1748.202900159805,0.0,743.9821931406659,0.0,1750.0,1.0
1562.0420741930284,1750.0,3.6677043,1748.18564458608,0.0,758.5504075375029,0.0,1750.0,1.0
1592.0420756179446,1750.0,3.6714449,1748.178041949722,0.0,773.1185585790338,0.0,1750.0,1.0
1622.0420770428682,1750.0,3.6750278,1748.1905431535558,0.0,787.6868137972685,0.0,1750.0,1.0
1652.0420784677915,1750.0,3.678650100000001,1748.320574665934,0.0,802.2561526114911,0.0,1750.0,1.0
1682.0420798927153,1750.0,3.682311799999999,1748.314245108943,0.0,816.825438679403,0.0,1750.0,1.0
1712.0420813176388,1750.0,3.6861703,1748.317317415112,0.0,831.3947503498672,0.0,1750.0,1.0
1742.0420827425696,1750.0,3.6899109,1748.326616039345,0.0,845.9641395088707,0.0,1750.0,1.0
1772.042084167486,1750.0,3.6937299,1748.338551626344,0.0,860.5336281311038,0.0,1750.0,1.0
1802.0420855924096,1750.0,3.6974704,1748.3467195296012,0.0,875.1031848192005,0.0,1750.0,1.0
1832.04208701734,1750.0,3.7011321,1748.309872574971,0.0,889.6724344493274,0.0,1750.0,1.0
1862.0420884422565,1750.0,3.7047937000000006,1748.19280231686,0.0,904.2407084939238,0.0,1750.0,1.0
1892.04208986718,1750.0,3.7085342,1748.190463848547,0.0,918.8089630512832,0.0,1750.0,1.0
1922.0420912921036,1750.0,3.7121959,1748.213379073695,0.0,933.3774085688614,0.0,1750.0,1.0
1952.0420927170271,1750.0,3.7156606,1748.214193461677,0.0,947.9458608730064,0.0,1750.0,1.0
1982.042094141958,1750.0,3.7193224,1748.217186886014,0.0,962.5143381223552,0.0,1750.0,1.0
2012.0420955668744,1750.0,3.7226691,1748.2223611696231,0.0,977.0828584907364,0.0,1750.0,1.0
2042.0420969917905,1750.0,3.7262521,1748.215965662114,0.0,991.6513255632192,0.0,1750.0,1.0
2072.0420984167213,1750.0,3.7295988,1748.2207465212618,0.0,1006.2198324761972,0.0,1750.0,1.0
2102.042099841645,1750.0,3.7329848,1748.224817631095,0.0,1020.7883733150908,0.0,1750.0,1.0
2132.0421012665684,1750.0,3.7365677,1748.2234652467191,0.0,1035.356902884115,0.0,1750.0,1.0
2162.042102691492,1750.0,3.7399144,1748.228861372764,0.0,1049.925477420858,0.0,1750.0,1.0
2192.0421041164227,1750.0,3.7431824,1748.228821732467,0.0,1064.494051627265,0.0,1750.0,1.0
2222.042105541339,1750.0,3.7466078,1748.221350191481,0.0,1079.062563570828,0.0,1750.0,1.0
2252.04210696627,1750.0,3.7500727,1748.224934737209,0.0,1093.631105385607,0.0,1750.0,1.0
2282.042108391186,1750.0,3.7534193999999994,1748.216084379556,0.0,1108.199573447401,0.0,1750.0,1.0
2312.0421098161096,1750.0,3.7568054,1748.231159533462,0.0,1122.7681671354849,0.0,1750.0,1.0
2342.0421112410404,1750.0,3.7601521,1748.219445764488,0.0,1137.336663208822,0.0,1750.0,1.0
2372.0421126659567,1750.0,3.7635775,1748.2137205124811,0.0,1151.905111571723,0.0,1750.0,1.0
2402.042114090873,1750.0,3.7671998,1748.2071024301129,0.0,1166.473504783936,0.0,1750.0,1.0
2432.0421155158037,1750.0,3.7706647000000006,1748.2057890675449,0.0,1181.04188705146,0.0,1750.0,1.0
2462.0421169407273,1750.0,3.7741294,1748.1999710909342,0.0,1195.610220835843,0.0,1750.0,1.0
2492.042118365658,1750.0,3.777673000000001,1748.193077430779,0.0,1210.178497173055,0.0,1750.0,1.0
2522.0421197905744,1750.0,3.781256,1748.254402541799,0.0,1224.747284552884,0.0,1750.0,1.0
2552.0421212154906,1750.0,3.7849569,1748.255860549542,0.0,1239.316084082777,0.0,1750.0,1.0
2582.0421226404214,1750.0,3.7884612,1748.254652615029,0.0,1253.88487354655,0.0,1750.0,1.0
2612.042124065345,1750.0,3.7920835,1748.275309694126,0.0,1268.453835152656,0.0,1750.0,1.0
2642.0421254902685,1750.0,3.7959027,1748.2936807870042,0.0,1283.02294985121,0.0,1750.0,1.0
2672.042126915192,1750.0,3.7995644,1748.2775154638778,0.0,1297.591929838732,0.0,1750.0,1.0
2702.0421283401156,1750.0,3.8035016,1748.290936158228,0.0,1312.161021665378,0.0,1750.0,1.0
2732.042129765039,1750.0,3.8071635,1748.304658577823,0.0,1326.730227845527,0.0,1750.0,1.0
