t,control/V/mA,V,I,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
5012.042238059221,1750.0,4.1226587,1748.550614319721,0.0,2434.090285248887,0.0,1750.0,1.0
5042.042239484152,1750.0,4.1273441,1748.5660834351982,0.0,2448.661669969617,0.0,1750.0,1.0
5072.042240909075,1750.0,4.1318326,1748.570337707457,0.0,2463.233090142618,0.0,1750.0,1.0
5102.042242333991,1750.0,4.136518,1748.572031717793,0.0,2477.804524432372,0.0,1750.0,1.0
5131.724243743818,1750.0,4.141518100000001,1748.5696049731548,0.0,2492.2214815101443,0.0,1750.0,1.0
5161.724245168742,1750.0,4.1462822,1748.5811046909948,0.0,2506.792991408012,0.0,1750.0,1.0
5190.572246538941,1750.0,4.1513219,1748.555621192889,0.0,2520.804751118028,0.0,1750.0,1.0
5220.426247956937,1750.0,4.1563621,1748.508126761506,0.0,2535.3047411446123,0.0,1750.0,1.0
5250.368249379106,1750.0,4.1613622,1748.516497296275,0.0,2549.847542102592,0.0,1750.0,1.0
5280.330250802224,1750.0,4.1663628,1748.503670158372,0.0,2564.399950284152,0.0,1750.0,1.0
5309.44225218497,1750.0,4.1713629,1748.5113000403549,0.0,2578.539579002074,0.0,1750.0,1.0
5339.442253609894,1750.0,4.1761665,1748.509119652096,0.0,2593.11048902459,0.0,1750.0,1.0
5369.194255023038,1750.0,4.1811666,1748.487995861282,0.0,2607.560771614515,0.0,1750.0,1.0
5399.194256447969,1750.0,4.1857733999999995,1748.46847658762,0.0,2622.13134294481,0.0,1750.0,1.0
5429.194257872885,1750.0,4.190576999999999,1748.461950237019,0.0,2636.701859888848,0.0,1750.0,1.0
5459.1942592978085,1750.0,4.1949472000000005,1748.435517433912,0.0,2651.272156559516,0.0,1750.0,1.0
5489.194260722739,1750.0,4.1992388,1748.401086063477,0.0,2665.842166302083,0.0,1750.0,1.0
5494.122260956792,1750.0,4.200065599999999,1748.4096902490242,0.0,2668.23554501397,0.0,1750.0,1.0
5614.122266656494,4.2000027,4.1998692,1568.278782873629,0.0,2720.511506926066,4.2000027,0.0,1.0
5734.122272356188,4.2000027,4.2000265,1347.281254110602,0.0,2765.420884196166,4.2000027,0.0,1.0
5854.122278055889,4.2000027,4.1998692,1209.482428160577,0.0,2805.7369670497633,4.2000027,0.0,1.0
5974.122283755576,4.2000027,4.1999477999999995,1107.403103801728,0.0,2842.650405596448,4.2000027,0.0,1.0
