t,control/V/mA,V,I,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
1130.6540537031833,1750.0,3.6117935,1749.204677602457,0.0,549.3346550293645,0.0,1750.0,1.0
1160.654055128114,1750.0,3.6162422,1749.205149355364,0.0,563.9113652996824,0.0,1750.0,1.0
1190.6540565530304,1750.0,3.6207697,1749.205137009988,0.0,578.4880754671221,0.0,1750.0,1.0
1220.6540579779466,1750.0,3.6249428,1749.218054481705,0.0,593.0648932801647,0.0,1750.0,1.0
1250.6540594028777,1750.0,3.6290767,1749.208851951217,0.0,607.6416344054495,0.0,1750.0,1.0
1280.654060827801,1750.0,3.6330924,1749.193792878039,0.0,622.2182500384519,0.0,1750.0,1.0
1310.6540622527318,1750.0,3.6371474,1749.188619961619,0.0,636.7948225638154,0.0,1750.0,1.0
1340.654063677648,1750.0,3.6409662,1749.173444189227,0.0,651.371268624403,0.0,1750.0,1.0
1370.6540651025643,1750.0,3.6448245,1749.213368536289,0.0,665.9480473878987,0.0,1750.0,1.0
1400.6540665274952,1750.0,3.6486433,1749.1888563548362,0.0,680.5246218832057,0.0,1750.0,1.0
1430.6540679524187,1750.0,3.6523046,1749.194962539442,0.0,695.1012472633869,0.0,1750.0,1.0
1460.654069377335,1750.0,3.6559267,1749.202157273801,0.0,709.6779325996905,0.0,1750.0,1.0
1490.6540708022658,1750.0,3.6596668,1749.195369269566,0.0,724.2545613692897,0.0,1750.0,1.0
1520.654072227189,1750.0,3.6633675,1749.202747475596,0.0,738.831251623942,0.0,1750.0,1.0
1550.6540736521129,1750.0,3.6671076,1749.219696465676,0.0,753.408083120185,0.0,1750.0,1.0
1580.6540750770364,1750.0,3.670926600000001,1749.2140768207612,0.0,767.9848677860512,0.0,1750.0,1.0
1610.65407650196,1750.0,3.674548399999999,1749.183395824497,0.0,782.5613967769368,0.0,1750.0,1.0
1640.6540779268837,1750.0,3.6782098,1749.197443862566,0.0,797.1380428348116,0.0,1750.0,1.0
1670.654079351807,1750.0,3.6819499,1749.1966172187258,0.0,811.7146820039874,0.0,1750.0,1.0
1700.6540807767306,1750.0,3.6858082,1749.193032835758,0.0,826.2912913033039,0.0,1750.0,1.0
1730.6540822016468,1750.0,3.6894302,1749.181834952175,0.0,840.8678072869193,0.0,1750.0,1.0
1760.6540836265776,1750.0,3.6933277,1749.175572240884,0.0,855.4442710812715,0.0,1750.0,1.0
1790.654085051494,1750.0,3.6970284,1749.072436137384,0.0,870.0198754080537,0.0,1750.0,1.0
1820.654086476432,1750.0,3.700808,1749.072212252304,0.0,884.5954778691269,0.0,1750.0,1.0
1850.654087901348,1750.0,3.7045088,1749.052742640598,0.0,899.1709180834282,0.0,1750.0,1.0
1880.6540893262645,1750.0,3.7082095,1749.081586926338,0.0,913.7465986667886,0.0,1750.0,1.0
1910.6540907512024,1750.0,3.7119102,1749.090421545059,0.0,928.3223528719752,0.0,1750.0,1.0
1940.6540921761189,1750.0,3.7156503,1749.1156289250462,0.0,942.8983171386716,0.0,1750.0,1.0
1970.6540936010351,1750.0,3.7190754,1749.260825418801,0.0,957.4754913762068,0.0,1750.0,1.0
2000.6540950259732,1750.0,3.7226186,1749.426660713659,0.0,972.0540475745984,0.0,1750.0,1.0
2030.6540964508897,1750.0,3.7262406,1749.4636709088409,0.0,986.6329121912976,0.0,1750.0,1.0
2060.654097875813,1750.0,3.7295871,1749.4750655209298,0.0,1001.211871763102,0.0,1750.0,1.0
2090.654099300737,1750.0,3.7330515,1749.463644175444,0.0,1015.790736157023,0.0,1750.0,1.0
2120.65410072566,1750.0,3.7365949,1749.473857700349,0.0,1030.369685663655,0.0,1750.0,1.0
2150.6541021505764,1750.0,3.7399018,1749.4548091091308,0.0,1044.94847643202,0.0,1750.0,1.0
2180.6541035755145,1750.0,3.743563200000001,1749.4743446388018,0.0,1059.5274299964728,0.0,1750.0,1.0
2210.6541050004307,1750.0,3.7469096,1749.481078826308,0.0,1074.106439679158,0.0,1750.0,1.0
2240.654106425347,1750.0,3.750138,1749.471403346625,0.0,1088.685368732842,0.0,1750.0,1.0
2270.654107850285,1750.0,3.7537599,1749.4599422631838,0.0,1103.264202277493,0.0,1750.0,1.0
2300.6541092752013,1750.0,3.7571062999999993,1749.465731333548,0.0,1117.843084064399,0.0,1750.0,1.0
2330.654110700132,1750.0,3.760571,1749.449571796555,0.0,1132.42183118849,0.0,1750.0,1.0
